title,dept_num,credits,instructor,university,term,keyword,session
NATIONAL SECURITY AFFAIRS I,AFSC 401 001,3,,rice university,Fall Semester 2017,secur,Full Term
INTERNATIONAL SECURITY,GLBL 552 001,3,"Birenbaum, Cory S.",rice university,Fall Semester 2017,secur,Full Term
REAL ESTATE FINANCE:SECURITIES,MGMT 674 001,1.5,"Duarte, Jefferson",rice university,Fall Semester 2017,secur,MBA Term I
NATIONAL SECURITY AFFAIRS II,AFSC 402 001,3,,rice university,Spring Semester 2018,secur,Full Term
INTRO TO COMPUTER SECURITY,COMP 427 001,3,"Wallach, Dan S.",rice university,Spring Semester 2018,secur,Full Term
INTRO TO COMPUTER SECURITY,COMP 541 001,3,"Wallach, Dan S.",rice university,Spring Semester 2018,secur,Full Term
INTERNATIONAL SECURITY,GLBL 525 001,3,"Ard, Michael J.",rice university,Spring Semester 2018,secur,Full Term
NATIONAL SECURITY AFFAIRS I,AFSC 401 001,3,,rice university,Fall Semester 2018,secur,Full Term
SECURE & CLOUD COMPUTING,COMP 436 001,3,"Chen, Ang",rice university,Fall Semester 2018,secur,Full Term
SECURE & CLOUD COMPUTING,COMP 536 001,3,"Chen, Ang",rice university,Fall Semester 2018,secur,Full Term
SECURE & CLOUD COMPUTING,ELEC 410 001,3,"Chen, Ang",rice university,Fall Semester 2018,secur,Full Term
SECURE & CLOUD COMPUTING,ELEC 510 001,3,"Chen, Ang",rice university,Fall Semester 2018,secur,Full Term
INTERNATIONAL SECURITY,GLBL 552 001,3,"Birenbaum, Cory S.",rice university,Fall Semester 2018,secur,Full Term
REAL ESTATE FINANCE:SECURITIES,MGMT 674 001,1.5,"Duarte, Jefferson",rice university,Fall Semester 2018,secur,MBA Term I
NATIONAL SECURITY AFFAIRS II,AFSC 402 001,3,,rice university,Spring Semester 2019,secur,Full Term
INTRO TO COMPUTER SECURITY,COMP 427 001,3,"Wallach, Dan S.
Dautenhahn, Nathan D.",rice university,Spring Semester 2019,secur,Full Term
INTRO TO COMPUTER SECURITY,COMP 541 001,3,"Wallach, Dan S.
Dautenhahn, Nathan D.",rice university,Spring Semester 2019,secur,Full Term
INTERNATIONAL SECURITY,GLBL 525 001,3,"Ard, Michael J.",rice university,Spring Semester 2019,secur,Full Term
POLITICS OF AMER NATL SECURITY,POLI 378 001,3,"Stoll, Richard J.",rice university,Spring Semester 2019,secur,Full Term
